Time,cs:altitude_agl,cs:altitude_amsl,cs:ground_elevation,cs:ground_speed_x,cs:ground_speed_y,cs:ground_speed_z,fc:altitude_raw,fc:control_mode,fc:course,fc:downlink_present,fc:gcs_link_quality,fc:ground_speed,fc:heading,fc:is_armed,fc:latitude,fc:longitude,fc:main_current,fc:main_voltage,fc:pitch,fc:rc_link_quality,fc:remaining_power_level,fc:roll,fc:satellite_count,fc:takeoff_latitude,fc:takeoff_longitude,fc:uplink_present,fc:vertical_speed,gb:heading,gb:pitch,gb:roll
2017-07-18T16:16:48.68,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-91.99999989487465,false,64.84101148175677,-147.71852695404934,0.992,15.308,4.099999995315066,1.0,0.46,1.3999999984002665,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:48.218,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-79.59999990904372,false,64.84101148175677,-147.71852695404934,0.992,15.308,1.1999999986288,1.0,0.46,2.6999999969148005,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-115.59999834202881,0.0,0.0
2017-07-18T16:16:48.360,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-79.59999990904372,false,64.84101148175677,-147.71852695404934,0.992,15.308,1.1999999986288,1.0,0.46,2.6999999969148005,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-65.69999687316898,0.0,0.0
2017-07-18T16:16:48.368,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-51.79999994080986,false,64.84101148175677,-147.71852695404934,0.992,15.308,0.19999999977146668,1.0,0.46,3.199999996343467,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-65.69999687316898,0.0,0.0
2017-07-18T16:16:48.518,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,,true,1.0,0.0,-39.19999995520746,false,64.84101148175677,-147.71852695404934,0.992,15.308,-0.5999999993144,1.0,0.46,3.6999999957721337,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-65.69999687316898,0.0,0.0
2017-07-18T16:16:48.669,61.13665771484375,197.2212371826172,136.08457946777344,-0.10000000149011612,-5.384690291134369E-10,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.10000000149011612,-26.0999999701764,false,64.84101148175677,-147.71852695404934,0.992,15.308,-0.09999999988573334,1.0,0.46,3.8999999955436,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-65.69999687316898,0.0,0.0
2017-07-18T16:16:48.694,61.13665771484375,197.2212371826172,136.08457946777344,-0.10000000149011612,-5.384690291134369E-10,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.10000000149011612,-26.0999999701764,false,64.84101148175677,-147.71852695404934,0.992,15.308,-0.09999999988573334,1.0,0.46,3.8999999955436,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-65.69999687316898,0.0,0.0
2017-07-18T16:16:48.728,61.13665771484375,197.2212371826172,136.08457946777344,-0.10000000149011612,-5.384690291134369E-10,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.10000000149011612,-26.0999999701764,false,64.84101148175677,-147.71852695404934,0.981,15.306,-0.09999999988573334,1.0,0.46,3.8999999955436,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-65.69999687316898,0.0,0.0
2017-07-18T16:16:48.760,61.13665771484375,197.2212371826172,136.08457946777344,-0.10000000149011612,-5.384690291134369E-10,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.10000000149011612,-26.0999999701764,false,64.84101148175677,-147.71852695404934,0.981,15.306,-0.09999999988573334,1.0,0.46,3.8999999955436,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-33.999999961149335,0.0,0.0
2017-07-18T16:16:48.819,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,-0.0,0.0,0.0,269.99999969147996,true,1.0,0.0,-26.199999970062134,false,64.84101148175677,-147.71852695404934,0.981,15.306,-0.49999999942866663,1.0,0.46,2.499999997143333,0.0,64.91282070926617,-147.9109646927836,true,-0.0,-33.999999961149335,0.0,0.0
2017-07-18T16:16:48.970,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-24.399999972118927,false,64.84101148175677,-147.71852695404934,0.981,15.306,0.2999999996572,1.0,0.46,0.7999999990858667,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-33.999999961149335,0.0,0.0
2017-07-18T16:16:49.120,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-22.7999999739472,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.0999999987430666,1.0,0.46,0.6999999992001332,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-33.999999961149335,0.0,0.0
2017-07-18T16:16:49.160,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-22.7999999739472,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.0999999987430666,1.0,0.46,0.6999999992001332,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-29.10000034821812,0.0,0.0
2017-07-18T16:16:49.271,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-21.799999975089865,false,64.84101148175677,-147.71852695404934,0.981,15.306,1.2999999985145334,1.0,0.46,-0.19999999977146668,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-29.10000034821812,0.0,0.0
2017-07-18T16:16:49.421,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-21.599999975318404,false,64.84101148175677,-147.71852695404934,0.981,15.306,2.0999999976004,1.0,0.46,-2.0999999976004,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-29.10000034821812,0.0,0.0
2017-07-18T16:16:49.494,61.13665771484375,197.2212371826172,136.08457946777344,0.0,0.0,0.10000000149011612,0.0,0.0,269.99999969147996,true,1.0,0.0,-21.599999975318404,false,64.84101148175677,-147.71852695404934,0.981,15.306,2.0999999976004,1.0,0.46,-2.0999999976004,0.0,64.91282070926617,-147.9109646927836,true,0.10000000149011612,-29.10000034821812,0.0,0.0
