Checksum, UNIX Time Stamp, Mission ID, Platform Tail Number, Platform Heading Angle, Platform Pitch Angle, Platform Roll Angle, Platform Designation, Image Source Sensor, Image Coordinate System, Sensor Latitude, Sensor Longitude, Sensor True Altitude, Sensor Horizontal Field of View, Sensor Vertical Field of View, Sensor Relative Azimuth Angle, Sensor Relative Elevation Angle, Sensor Relative Roll Angle
,1518815744606000,,,32.1,3.5,0.0,,,,64.855353,-147.858571,180.2,38.471454284514344,68.66448958100517,359.9,-73.0,,
,1518815744648000,,,32.2,3.5,0.0,,,,64.855353,-147.858571,180.5,38.471454284514344,68.66448958100517,359.8,-77.3,,
,1518815744749000,,,32.2,3.5,0.0,,,,64.855353,-147.858571,180.7,38.471454284514344,68.66448958100517,359.8,-82.9,,
,1518815744797000,,,32.2,3.5,0.0,,,,64.855353,-147.858571,181.0,38.471454284514344,68.66448958100517,359.8,-88.5,,
,1518815744904000,,,32.3,3.5,0.0,,,,64.855353,-147.858571,181.4,38.471454284514344,68.66448958100517,359.7,-88.5,,
,1518815745002000,,,32.3,3.6,0.0,,,,64.855353,-147.858571,181.7,38.471454284514344,68.66448958100517,359.7,-92.89999999999999,,
,1518815745096000,,,32.2,3.5,0.0,,,,64.855353,-147.858571,182.0,38.471454284514344,68.66448958100517,359.8,-93.5,,
,1518815745183000,,,32.2,3.5,0.0,,,,64.855353,-147.858571,182.2,38.471454284514344,68.66448958100517,359.8,-93.5,,
,1518815745298000,,,32.2,3.4,0.0,,,,64.855353,-147.858571,182.5,38.471454284514344,68.66448958100517,359.8,-93.4,,
,1518815745393000,,,32.2,3.4,0.0,,,,64.855353,-147.858571,182.9,38.471454284514344,68.66448958100517,359.8,-93.30000000000001,,
,1518815745492000,,,32.2,3.4,0.0,,,,64.855353,-147.858571,183.2,38.471454284514344,68.66448958100517,359.8,-93.4,,
,1518815745590000,,,32.1,3.4,0.0,,,,64.855353,-147.858571,183.5,38.471454284514344,68.66448958100517,359.9,-93.4,,
